Dia;LinhaProducao;Hora;OEE;Produto;Paradas;TempoTotalParada
14/03/2026;SIG I;21:00 - 22:00;0.76%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM1014 - Falha na Solda de Topo (Ultrassom) | GQ1009 -                                   Setup - Análise | GM1004 - Falha na Selagem de Fundo | GR1181 -                                   Setup - Entrada de Suco;0:58:39.340
14/03/2026;SIG I;22:00 - 22:55;16.27%;060100802027 - PPB MAGUARY MARACUJA 12X1000ML;GM1047 - Falha na aplicaçăo de cola da traypacker | GO1098 -                                    Setup - Enxague | GR1181 -                                   Setup - Entrada de Suco | GM1056 - Falha na Captura | GM1014 - Falha na Solda de Topo (Ultrassom);0:50:11.162
14/03/2026;SIG I;22:55 - 23:00;0.00%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GR1181 -                                   Setup - Entrada de Suco;0:04:14.177
14/03/2026;SIG I;23:00 - 00:00;17.79%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1041 - Falha na separaçăo de embalagens | GR1181 -                                   Setup - Entrada de Suco | GM1028 - Falha na aplicaçăo de tampas;0:53:10.023
14/03/2026;SIG I;00:00 - 01:00;54.41%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1041 - Falha na separaçăo de embalagens | GM1002 - Falha no Feeder (Alimentaçăo Roda Mandril) | 999999999 - Parada Nao Informada | GM1028 - Falha na aplicaçăo de tampas | GM1023 - Falha no Transporte Acumuldor - Aplicadora de Tampas;0:25:53.776
14/03/2026;SIG I;01:00 - 02:00;63.35%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1041 - Falha na separaçăo de embalagens | GM1056 - Falha na Captura | GM1028 - Falha na aplicaçăo de tampas;0:20:27.299
14/03/2026;SIG I;02:00 - 03:00;52.96%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1023 - Falha no Transporte Acumuldor - Aplicadora de Tampas | GM1038 - Falha no Transporte de Entrada do Traypacker | GM1041 - Falha na separaçăo de embalagens | GM1002 - Falha no Feeder (Alimentaçăo Roda Mandril);0:22:31.673
14/03/2026;SIG I;03:00 - 04:00;76.45%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1041 - Falha na separaçăo de embalagens;0:11:50.765
14/03/2026;SIG I;04:00 - 05:00;67.23%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1041 - Falha na separaçăo de embalagens | GM1056 - Falha na Captura;0:18:22.577
14/03/2026;SIG I;05:00 - 05:07;85.55%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa;0:00:59.953
14/03/2026;SIG I;05:07 - 06:00;86.83%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1041 - Falha na separaçăo de embalagens | GM1043 - Falha no envolvimento com a caixa;0:06:38.777
14/03/2026;SIG I;06:00 - 07:00;25.10%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GO1064 - Absenteísmo Operaçăo | GM1043 - Falha no envolvimento com a caixa;0:43:17.424
14/03/2026;SIG I;07:00 - 08:00;9.56%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1005 - Falha na Transferęncia para pré-dobra;0:53:19.915
14/03/2026;SIG I;08:00 - 09:00;16.95%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1028 - Falha na aplicaçăo de tampas;0:49:30.667
14/03/2026;SIG I;09:00 - 10:00;5.84%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1010 - Falha na Injeçăo de Ar Estéril | GM1043 - Falha no envolvimento com a caixa | GM1028 - Falha na aplicaçăo de tampas;0:56:01.082
14/03/2026;SIG I;10:00 - 11:00;0.00%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1010 - Falha na Injeçăo de Ar Estéril;1:00:00.000
14/03/2026;SIG I;11:00 - 12:00;13.86%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1010 - Falha na Injeçăo de Ar Estéril | GM1028 - Falha na aplicaçăo de tampas | GM1043 - Falha no envolvimento com a caixa;0:51:23.317
14/03/2026;SIG I;12:00 - 13:00;24.17%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1043 - Falha no envolvimento com a caixa | GM1028 - Falha na aplicaçăo de tampas;0:44:55.750
14/03/2026;SIG I;13:00 - 14:00;39.49%;060100801027 - REFRESCO SABORIZADO MARACUJA M DAFRUTA PPB 12X1000;GM1028 - Falha na aplicaçăo de tampas | GM1043 - Falha no envolvimento com a caixa | GR1084 -                                   Aguardando Formulaçăo;0:36:15.503
