0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARAGUARI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
30;0616240993;060200801005;GM4015;Falha no Transporte de Entrada da Rotuladora;3O. TURNO;2026-03-18 21:01:09.127000;2026-03-18 21:02:54.147000;0:01:45.020000;0:00:00;0:01:45.020000;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 21:05:55.397000;2026-03-18 21:06:44.217000;0:00:48.820000;0:00:48.820000;0:00:00;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 21:11:05.337000;2026-03-18 21:15:52.590000;0:04:47.253000;0:04:47.253000;0:00:00;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:23:53.947000;2026-03-18 21:24:20.283000;0:00:26.336000;0:00:00;0:00:26.336000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:30:07.110000;2026-03-18 21:30:11.593000;0:00:04.483000;0:00:00;0:00:04.483000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:32:41.050000;2026-03-18 21:33:24.860000;0:00:43.810000;0:00:00;0:00:43.810000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:41:32.407000;2026-03-18 21:42:00.117000;0:00:27.710000;0:00:00;0:00:27.710000;;
30;0616240993;060200801005;GN4001;*                                   Falta de Garrafas;3O. TURNO;2026-03-18 21:50:00.403000;2026-03-18 21:50:38.247000;0:00:37.844000;0:00:37.844000;0:00:00;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:51:21.320000;2026-03-18 21:51:34.837000;0:00:13.517000;0:00:00;0:00:13.517000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 21:56:25.660000;2026-03-18 21:56:50.207000;0:00:24.547000;0:00:00;0:00:24.547000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 22:01:45.113000;2026-03-18 22:02:06.360000;0:00:21.247000;0:00:00;0:00:21.247000;;
30;0616240993;060200801005;GO4104;*                                  COP MANUAL;3O. TURNO;2026-03-18 22:05:13.263000;2026-03-18 22:13:22.473000;0:08:09.210000;0:08:09.210000;0:00:00;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 22:16:24.237000;2026-03-18 22:17:05.843000;0:00:41.606000;0:00:00;0:00:41.606000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 22:18:55.330000;2026-03-18 22:20:08.237000;0:01:12.907000;0:00:00;0:01:12.907000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 22:20:19.137000;2026-03-18 22:20:40.893000;0:00:21.756000;0:00:00;0:00:21.756000;;
30;0616240993;060200801005;GM4007;Falha na aplicação de tampa;3O. TURNO;2026-03-18 22:28:58.763000;2026-03-18 22:29:24.870000;0:00:26.107000;0:00:00;0:00:26.107000;;
